dateid,day,month,year,dayofweek,dayofyear
1792,26,2,2014,3,57
1793,19,3,2009,4,78
1794,12,3,2017,0,71
1795,9,11,2015,1,313
1796,6,11,2018,2,310
1797,15,10,2018,1,288
1798,1,1,2015,4,1
1799,19,11,2014,3,323
1800,10,4,2015,5,100
1801,15,1,2014,3,15
1802,1,5,2018,2,121
1803,4,4,2012,3,95
1804,4,4,2014,5,94
1805,5,6,2014,4,156
1806,7,11,2017,2,311
1807,22,7,2014,2,203
1808,25,11,2013,1,329
1809,2,10,2015,5,275
1810,24,10,2017,2,297
1811,11,6,2014,3,162
1812,12,9,2016,1,256
1813,18,2,2015,3,49
1814,25,6,2007,1,176
1815,4,3,2015,3,63
1816,26,4,2013,5,116
1817,24,8,2006,4,236
1818,28,12,2018,5,362
1819,28,3,2017,2,87
1820,19,5,2008,1,140
1821,15,10,2008,3,289
1822,4,3,2017,6,63
1823,25,6,2010,5,176
1824,29,4,2009,3,119
1825,15,10,2007,1,288
1826,31,8,2012,5,244
1827,13,4,2016,3,104
1828,8,1,2014,3,8
1829,20,10,2018,6,293
1830,15,3,2019,5,74
1831,10,4,2019,3,100
1832,4,2,2011,5,35
1833,6,3,2014,4,65
1834,8,4,2014,2,98
1835,2,11,2018,5,306
1836,3,10,2018,3,276
1837,7,9,2015,1,250
1838,17,10,2017,2,290
1839,24,4,2012,2,115
1840,21,7,2016,4,203
1841,18,2,2009,3,49
1842,29,7,2015,3,210
1843,8,4,2010,4,98
1844,22,5,2014,4,142
1845,17,5,2017,3,137
1846,2,9,2015,3,245
1847,8,10,2010,5,281
1848,12,12,2012,3,347
1849,18,10,2017,3,291
1850,4,12,2014,4,338
1851,5,5,2016,4,126
1852,25,6,2016,6,177
1853,1,3,2004,1,61
1854,12,3,2018,1,71
1855,24,3,2015,2,83
1856,23,4,2014,3,113
1857,1,3,2018,4,60
1858,5,11,2013,2,309
1859,21,3,2012,3,81
1860,5,12,2015,6,339
1861,13,9,2012,4,257
1862,18,4,2013,4,108
1863,25,3,2019,1,84
1864,3,3,2010,3,62
1865,26,10,2006,4,299
1866,23,8,2006,3,235
1867,18,10,2018,4,291
1868,12,6,2009,5,163
1869,8,8,2017,2,220
1870,29,9,2016,4,273
1871,26,10,2018,5,299
1872,29,1,2016,5,29
1873,20,11,2014,4,324
1874,15,9,2009,2,258
1875,10,5,2018,4,130
1876,23,7,2009,4,204
1877,22,6,2009,1,173
1878,29,9,2006,5,272
1879,19,1,2018,5,19
1880,26,12,2016,1,361
1881,19,12,2012,3,354
1882,2,6,2017,5,153
1883,29,10,2012,1,303
1884,11,3,2018,0,70
1885,31,3,2018,6,90
1886,5,11,2009,4,309
1887,13,12,2016,2,348
1888,3,4,2014,4,93
1889,30,12,2016,5,365
1890,27,6,2017,2,178
1891,10,10,2012,3,284
1892,25,4,2013,4,115
1893,2,4,2015,4,92
1894,19,12,2017,2,353
1895,11,7,2005,1,192
1896,22,3,2013,5,81
1897,9,4,2013,2,99
1898,24,8,2009,1,236
1899,1,9,2010,3,244
1900,1,4,2015,3,91
1901,6,10,2010,3,279
1902,25,9,2016,0,269
1903,25,9,2018,2,268
1904,24,8,2012,5,237
1905,13,8,2016,6,226
1906,8,9,2014,1,251
1907,1,5,2014,4,121
1908,6,5,2018,0,126
1909,10,11,2017,5,314
1910,19,12,2016,1,354
1911,30,1,2019,3,30
1912,8,5,2015,5,128
1913,27,1,2019,0,27
1914,21,4,2018,6,111
1915,31,10,2011,1,304
1916,28,10,2009,3,301
1917,18,12,2016,0,353
1918,27,1,2014,1,27
1919,1,12,2001,6,335
1920,11,12,2015,5,345
1921,21,4,2010,3,111
1922,30,6,1997,1,181
1923,27,4,2015,1,117
1924,7,4,2009,2,97
1925,10,6,2018,0,161
1926,10,12,2016,6,345
1927,12,10,2005,3,285
1928,28,3,2016,1,88
1929,23,2,2011,3,54
1930,12,9,2018,3,255
1931,21,10,2010,4,294
1932,2,12,2009,3,336
1933,20,12,2010,1,354
1934,29,8,2007,3,241
1935,7,11,2007,3,311
1936,,,1989,,
1937,16,11,2004,2,321
1938,6,9,2012,4,250
1939,24,5,2013,5,144
1940,12,6,2014,4,163
1941,23,4,2019,2,113
1942,30,6,2015,2,181
1943,23,1,2018,2,23
1944,12,7,2012,4,194
1945,17,11,2009,2,321
1946,13,1,2019,0,13
1947,29,10,2018,1,302
1948,20,11,2017,1,324
1949,18,1,2008,5,18
1950,20,1,2017,5,20
1951,17,2,2017,5,48
1952,7,12,2017,4,341
1953,4,10,2018,4,277
1954,27,1,2015,2,27
1955,6,1,2016,3,6
1956,22,5,2013,3,142
1957,30,10,2009,5,303
1958,,,1991,,
1959,26,5,2011,4,146
1960,25,1,2012,3,25
1961,28,3,2014,5,87
1962,21,1,2014,2,21
1963,2,5,2016,1,123
1964,11,5,2017,4,131
1965,18,12,2015,5,352
1966,7,12,2012,5,342
1967,19,8,2018,0,231
1968,3,11,2009,2,307
1969,22,6,2007,5,173
1970,19,2,2018,1,50
1971,6,8,2016,6,219
1972,5,2,2018,1,36
1973,30,4,2014,3,120
1974,11,10,2006,3,284
1975,2,9,2013,1,245
1976,8,12,2015,2,342
1977,19,9,2008,5,263
1978,2,5,2014,5,122
1979,18,3,2016,5,78
1980,4,8,2018,6,216
1981,6,12,2016,2,341
1982,15,1,2013,2,15
1983,13,9,2013,5,256
1984,28,4,2011,4,118
1985,16,7,2014,3,197
1986,3,8,2015,1,215
1987,4,7,2017,2,185
1988,6,6,2016,1,158
1989,2,8,2013,5,214
1990,16,8,2011,2,228
1991,31,3,2015,2,90
1992,21,4,2009,2,111
1993,10,7,2018,2,191
1994,8,7,2008,2,190
1995,28,2,2016,0,59
1996,21,12,2015,1,355
1997,24,7,2015,5,205
1998,26,9,2013,4,269
1999,2,4,2009,4,92
2000,21,5,2014,3,141
2001,20,6,2011,1,171
2002,30,7,2018,1,211
2003,8,1,2019,2,8
2004,26,3,2009,4,85
2005,27,5,2014,2,147
2006,1,3,2019,5,60
2007,4,8,2010,3,216
2008,5,11,2010,5,309
2009,25,8,2009,2,237
2010,26,11,2013,2,330
2011,31,8,2011,3,243
2012,31,5,2018,4,151
2013,16,2,2019,6,47
2014,20,8,2012,1,233
2015,25,4,2019,4,115
2016,30,4,2016,6,121
2017,6,11,2014,4,310
2018,3,9,2016,6,247
2019,5,2,2017,0,36
2020,5,5,2009,2,125
2021,7,10,2010,4,280
2022,23,12,2009,3,357
2023,3,1,2019,4,3
2024,21,1,2015,3,21
2025,7,8,2018,2,219
2026,18,11,2009,3,322
2027,15,10,2010,5,288
2028,16,1,2012,1,16
2029,9,8,2017,3,221
2030,6,10,2017,5,279
2031,13,12,2017,3,347
2032,10,3,2017,5,69
2033,19,3,2013,2,78
2034,8,8,2012,3,221
2035,24,6,2010,4,175
2036,9,9,2016,5,253
2037,16,10,2006,1,289
2038,27,8,2014,3,239
2039,1,4,1999,4,91
2040,23,8,2017,3,235
2041,3,8,2017,4,215
2042,12,12,2017,2,346
2043,24,6,2016,5,176
2044,24,8,2011,3,236
2045,18,9,2014,4,261
2046,26,3,2014,3,85
2047,5,1,2018,5,5
2048,26,9,2017,2,269
2049,29,1,2014,3,29
2050,7,7,2014,1,188
2051,6,4,2012,5,97
2052,3,6,2014,2,154
2053,18,6,2018,1,169
2054,23,7,2014,3,204
2055,13,1,2016,3,13
2056,8,6,2011,3,159
2057,21,5,2017,0,141
2058,18,11,2014,2,322
2059,26,4,2019,5,116
2060,7,1,2017,6,7
2061,9,7,2008,3,191
2062,21,9,2018,5,264
2063,7,9,2018,5,250
2064,5,10,2015,1,278
2065,16,11,2016,3,321
2066,18,11,2011,5,322
2067,15,3,2001,4,74
2068,17,7,2017,1,198
2069,28,8,2002,3,240
2070,15,11,2017,3,319
2071,14,7,2005,4,195
2072,12,5,2018,6,132
2073,7,12,2011,3,341
2074,12,12,2008,5,347
2075,25,11,2009,3,329
2076,20,7,2016,3,202
2077,16,9,2009,3,259
2078,25,5,2015,1,145
2079,4,4,2011,1,94
2080,4,9,2018,2,247
2081,29,6,2018,5,180
2082,12,1,2019,6,12
2083,23,8,2018,4,235
2084,22,1,2009,4,22
2085,22,1,2014,3,22
2086,4,11,2013,1,308
2087,8,7,2014,2,189
2088,26,4,2017,3,116
2089,10,7,2012,2,192
2090,25,4,2012,3,116
2091,24,2,2018,6,55
2092,28,7,2017,5,209
2093,6,9,2010,1,249
2094,24,11,2009,2,328
2095,14,7,2010,3,195
2096,25,9,2008,4,269
2097,18,8,2018,6,230
2098,28,9,2015,1,271
2099,12,3,2008,3,72
2100,17,7,2018,2,198
2101,17,2,2018,6,48
2102,26,1,2017,4,26
2103,15,5,2014,4,135
2104,16,9,2018,0,259
2105,25,7,2013,4,206
2106,5,3,2014,3,64
2107,27,6,2014,5,178
2108,12,11,2016,6,317
2109,8,11,1998,0,312
2110,20,5,2018,0,140
2111,14,9,2018,5,257
2112,4,9,2009,5,247
2113,6,10,2018,6,279
2114,11,2,2019,1,42
2115,30,4,2015,4,120
2116,23,2,2018,5,54
2117,13,6,2016,1,165
2118,20,7,2015,1,201
2119,9,4,2012,1,100
2120,1,8,2017,2,213
2121,3,12,2012,1,338
2122,25,1,2018,4,25
2123,2,3,2011,3,61
2124,16,12,2016,5,351
2125,28,3,2013,4,87
2126,6,7,2009,1,187
2127,10,4,2017,1,100
2128,28,2,2018,3,59
2129,24,3,2017,5,83
2130,13,8,2012,1,226
2131,20,6,2012,3,172
2132,27,10,2016,4,301
2133,7,6,2016,2,159
2134,19,3,2016,6,79
2135,29,4,2014,2,119
2136,4,11,2018,0,308
2137,3,9,2017,0,246
2138,29,2,2016,1,60
2139,29,5,2015,5,149
2140,28,1,2009,3,28
2141,21,9,2007,5,264
2142,20,3,2012,2,80
2143,11,11,2009,3,315
2144,26,10,2016,3,300
2145,18,12,2008,4,353
2146,10,4,2013,3,100
2147,1,7,2003,2,182
2148,3,4,2018,2,93
2149,31,10,2014,5,304
2150,12,4,2010,1,102
2151,15,6,2015,1,166
2152,2,4,2019,2,92
2153,27,12,2017,3,361
2154,2,8,2014,6,214
2155,,,2018,,
2156,26,6,2014,4,177
2157,9,6,2011,4,160
2158,14,1,2009,3,14
2159,3,8,2012,5,216
2160,28,5,2014,3,148
2161,25,7,2016,1,207
2162,9,7,2018,1,190
2163,2,12,2015,3,336
2164,6,5,2017,6,126
2165,12,1,2017,4,12
2166,10,7,2014,4,191
2167,18,3,2010,4,77
2168,24,7,2007,2,205
2169,,,1995,,
2170,18,9,2016,0,262
2171,27,9,2011,2,270
2172,,,2003,,
2173,8,7,2017,6,189
2174,13,1,2015,2,13
2175,18,10,2016,2,292
2176,16,10,2017,1,289
2177,22,10,2018,1,295
2178,14,6,2018,4,165
2179,20,3,2015,5,79
2180,16,3,2017,4,75
2181,27,3,2015,5,86
2182,30,4,2017,0,120
2183,20,1,2014,1,20
2184,21,5,2010,5,141
2185,10,2,2015,2,41
2186,28,4,2018,6,118
2187,2,7,2009,4,183
2188,17,6,2008,2,169
2189,15,3,2010,1,74
2190,13,2,2017,1,44
2191,7,7,2009,2,188
2192,8,7,2013,1,189
2193,8,1,2013,2,8
2194,24,5,2016,2,145
2195,30,5,2015,6,150
2196,17,4,2016,0,108
2197,27,2,2014,4,58
2198,4,12,2016,0,339
2199,28,10,2016,5,302
2200,13,3,2019,3,72
2201,29,7,2009,3,210
2202,30,3,2017,4,89
2203,10,6,2013,1,161
2204,21,6,2011,2,172
2205,27,7,2018,5,208
2206,17,12,2014,3,351
2207,29,10,2015,4,302
2208,13,10,2016,4,287
2209,31,5,2017,3,151
2210,28,10,2008,2,302
2211,17,2,2019,0,48
2212,16,2,2012,4,47
2213,10,9,2010,5,253
2214,28,9,2018,5,271
2215,7,10,2014,2,280
2216,29,3,2012,4,89
2217,9,9,2014,2,252
2218,13,3,2013,3,72
2219,13,3,2007,2,72
2220,10,2,2009,2,41
2221,13,5,2014,2,133
2222,23,2,2009,1,54
2223,11,7,2018,3,192
2224,24,10,2014,5,297
2225,10,2,2018,6,41
2226,19,3,2012,1,79
2227,14,3,2013,4,73
2228,24,10,2012,3,298
2229,4,10,2017,3,277
2230,16,8,2016,2,229
2231,30,6,2014,1,181
2232,20,7,2009,1,201
2233,2,3,2017,4,61
2234,29,10,2010,5,302
2235,15,11,2011,2,319
2236,31,5,2011,2,151
2237,25,12,2018,2,359
2238,22,5,2012,2,143
2239,15,12,2009,2,349
2240,15,7,2015,3,196
2241,6,12,2018,4,340
2242,24,6,2018,0,175
2243,22,1,2015,4,22
2244,8,10,2017,0,281
2245,21,11,2016,1,326
2246,3,6,2010,4,154
2247,1,1,2016,5,1
2248,8,3,2019,5,67
2249,27,4,2016,3,118
2250,6,3,2018,2,65
2251,29,11,2006,3,333
2252,30,12,2017,6,364
2253,23,2,2010,2,54
2254,29,9,2011,4,272
2255,9,7,2017,0,190
2256,14,4,2016,4,105
2257,10,8,2016,3,223
2258,22,9,2008,1,266
2259,27,1,2016,3,27
2260,22,5,2017,1,142
2261,30,10,2013,3,303
2262,4,2,2017,6,35
2263,27,8,2010,5,239
2264,24,3,2009,2,83
2265,2,12,2018,0,336
2266,1,1,2017,0,1
2267,1,2,2017,3,32
2268,29,3,2016,2,89
2269,23,1,2014,4,23
2270,28,9,2017,4,271
2271,21,7,2009,2,202
2272,22,1,2018,1,22
2273,17,4,2015,5,107
2274,27,4,2011,3,117
2275,27,2,2017,1,58
2276,16,10,2013,3,289
2277,15,11,2018,4,319
2278,17,3,2014,1,76
2279,14,4,2010,3,104
2280,24,6,2017,6,175
2281,8,1,2016,5,8
2282,12,11,2015,4,316
2283,5,5,2018,6,125
2284,7,5,2014,3,127
2285,29,4,2017,6,119
2286,28,10,2014,2,301
2287,7,2,2018,3,38
2288,11,6,2018,1,162
2289,22,3,2016,2,82
2290,13,9,2016,2,257
2291,26,2,2013,2,57
2292,26,12,2017,2,360
2293,17,12,2013,2,351
2294,25,7,2018,3,206
2295,2,9,2010,4,245
2296,23,5,2014,5,143
2297,3,6,2017,6,154
2298,21,12,2017,4,355
2299,19,11,2009,4,323
2300,25,2,2009,3,56
2301,25,10,2010,1,298
2302,26,2,2018,1,57
2303,1,7,2010,4,182
2304,6,2,2017,1,37
2305,28,8,2017,1,240
2306,23,6,2017,5,174
2307,4,4,2017,2,94
2308,23,10,2013,3,296
2309,12,10,2018,5,285
2310,24,7,2017,1,205
2311,1,7,2018,0,182
2312,16,9,2014,2,259
2313,8,12,2016,4,343
2314,22,2,2011,2,53
2315,14,5,2013,2,134
2316,21,2,2017,2,52
2317,2,3,2016,3,62
2318,11,8,2015,2,223
2319,8,3,2013,5,67
2320,9,7,2013,2,190
2321,22,6,2017,4,173
2322,8,12,2014,1,342
2323,20,12,2016,2,355
2324,25,6,2014,3,176
2325,15,1,2016,5,15
2326,2,6,2014,1,153
2327,6,6,2014,5,157
2328,29,2,2008,5,60
2329,22,9,2015,2,265
2330,2,5,2018,3,122
2331,,,2007,,
2332,18,6,2009,4,169
2333,8,11,2016,2,313
2334,6,8,2014,3,218
2335,15,12,2014,1,349
2336,19,1,2012,4,19
2337,18,3,2018,0,77
2338,1,7,2013,1,182
2339,,,2020,,
2340,4,2,2016,4,35
2341,30,8,2017,3,242
2342,30,8,2011,2,242
2343,15,7,2011,5,196
2344,21,10,2018,0,294
2345,3,10,2008,5,277
2346,26,7,2011,2,207
2347,8,3,2016,2,68
2348,7,1,2016,4,7
2349,9,2,2012,4,40
2350,24,10,2008,5,298
2351,30,7,2017,0,211
2352,5,12,2017,2,339
2353,12,12,2018,3,346
2354,5,11,2017,0,309
2355,19,1,2015,1,19
2356,20,2,2019,3,51
2357,27,11,2014,4,331
2358,8,9,2010,3,251
2359,17,1,2019,4,17
2360,5,8,2014,2,217
2361,29,3,2007,4,88
2362,31,3,2010,3,90
2363,11,11,2015,3,315
2364,18,10,2013,5,291
2365,6,12,2011,2,340
2366,17,4,2014,4,107
2367,28,10,2015,3,301
2368,18,3,2019,1,77
2369,20,3,2017,1,79
2370,27,7,2017,4,208
2371,25,10,2013,5,298
2372,17,9,2008,3,261
2373,,,2011,,
2374,29,7,2014,2,210
2375,16,3,2018,5,75
2376,17,11,2015,2,321
2377,31,12,2015,4,365
2378,18,3,2015,3,77
2379,4,8,2016,4,217
2380,18,5,2012,5,139
2381,28,9,2010,2,271
2382,27,1,2012,5,27
2383,6,1,2018,6,6
2384,16,10,2009,5,289
2385,3,1,2018,3,3
2386,18,9,2018,2,261
2387,1,4,2006,6,91
2388,10,10,2017,2,283
2389,26,5,2014,1,146
2390,13,7,2017,4,194
2391,25,12,2017,1,359
2392,4,5,2018,5,124
2393,9,4,2017,0,99
2394,30,8,2006,3,242
2395,24,6,2015,3,175
2396,9,9,2017,6,252
2397,29,7,2016,5,211
2398,30,12,2018,0,364
2399,23,11,2017,4,327
2400,16,5,2014,5,136
2401,16,6,2015,2,167
2402,14,10,2016,5,288
2403,17,12,2016,6,352
2404,8,9,2017,5,251
2405,22,11,2016,2,327
2406,12,6,2017,1,163
2407,10,9,2015,4,253
2408,5,3,2019,2,64
2409,14,9,2012,5,258
2410,13,10,2015,2,286
2411,2,8,2016,2,215
2412,18,1,2016,1,18
2413,24,1,2018,3,24
2414,31,1,2018,3,31
2415,29,12,2015,2,363
2416,3,5,2017,3,123
2417,1,4,2005,5,91
2418,16,5,2018,3,136
2419,1,11,2006,3,305
2420,17,11,2016,4,322
2421,10,3,2016,4,70
2422,15,10,2014,3,288
2423,8,2,2008,5,39
2424,28,1,2019,1,28
2425,26,12,2018,3,360
2426,15,3,2018,4,74
2427,7,12,2016,3,342
2428,7,3,2017,2,66
2429,19,3,2014,3,78
2430,10,6,2016,5,162
2431,29,6,2009,1,180
2432,29,8,2017,2,241
2433,16,4,2019,2,106
2434,26,4,2016,2,117
2435,25,1,2017,3,25
2436,30,6,2016,4,182
2437,21,9,2015,1,264
2438,21,9,2012,5,265
2439,21,5,2008,3,142
2440,25,9,2014,4,268
2441,2,10,2016,0,276
2442,24,4,2019,3,114
2443,25,11,2015,3,329
2444,12,5,2014,1,132
2445,18,4,2012,3,109
2446,3,8,2007,5,215
2447,31,1,2017,2,31
2448,22,11,2017,3,326
2449,13,1,2010,3,13
2450,27,1,2011,4,27
2451,4,12,2015,5,338
2452,26,1,2018,5,26
2453,21,7,2006,5,202
2454,4,10,2013,5,277
2455,21,9,2011,3,264
2456,5,6,2007,2,156
2457,29,1,2008,2,29
2458,3,3,2019,0,62
2459,18,11,2016,5,323
2460,7,11,2013,4,311
2461,15,6,2011,3,166
2462,16,5,2016,1,137
2463,19,12,2006,2,353
2464,12,10,2012,5,286
2465,4,9,2016,0,248
2466,14,3,2014,5,73
2467,18,2,2018,0,49
2468,9,2,2016,2,40
2469,16,7,2009,4,197
2470,20,1,2015,2,20
2471,27,2,2013,3,58
2472,24,1,2011,1,24
2473,6,1,2015,2,6
2474,20,10,2016,4,294
2475,18,9,2015,5,261
2476,18,2,2010,4,49
2477,7,12,2018,5,341
2478,3,7,2018,2,184
2479,8,10,2008,3,282
2480,8,12,2017,5,342
2481,29,5,2013,3,149
2482,2,5,2017,2,122
2483,11,8,2011,4,223
2484,2,3,2015,1,61
2485,16,9,2016,5,260
2486,23,4,2017,0,113
2487,23,2,2017,4,54
2488,21,12,2006,4,355
2489,15,4,2009,3,105
2490,21,8,2012,2,234
2491,13,11,2016,0,318
2492,2,2,2016,2,33
2493,13,11,2013,3,317
2494,9,12,2014,2,343
2495,13,6,2017,2,164
2496,11,12,2012,2,346
2497,16,7,2016,6,198
2498,16,8,2018,4,228
2499,19,4,2018,4,109
2500,8,5,2012,2,129
2501,9,11,2016,3,314
2502,17,10,2014,5,290
2503,23,10,2008,4,297
2504,3,6,2018,0,154
2505,20,9,2013,5,263
2506,30,8,2012,4,243
2507,16,4,2015,4,106
2508,5,7,2016,2,187
2509,30,8,2016,2,243
2510,18,7,2008,5,200
2511,12,9,2014,5,255
2512,13,7,2018,5,194
2513,10,11,2011,4,314
2514,19,10,2018,5,292
2515,4,5,2017,4,124
2516,10,12,2010,5,344
2517,28,9,2009,1,271
2518,9,4,2014,3,99
2519,20,10,2017,5,293
2520,22,10,2008,3,296
2521,23,7,2013,2,204
2522,23,3,2010,2,82
2523,14,10,2017,6,287
2524,7,12,2010,2,341
2525,29,10,2014,3,302
2526,26,6,2015,5,177
2527,12,12,2014,5,346
2528,,,1998,,
2529,19,8,2015,3,231
2530,20,10,2008,1,294
2531,1,9,2015,2,244
2532,26,6,2017,1,177
2533,20,1,2019,0,20
2534,18,11,2008,2,323
2535,26,8,2018,0,238
2536,10,6,2011,5,161
2537,2,10,2009,5,275
2538,7,2,2012,2,38
2539,15,2,2019,5,46
2540,22,1,2016,5,22
2541,25,3,2013,1,84
2542,15,3,2007,4,74
2543,27,6,2016,1,179
2544,20,4,2017,4,110
2545,8,7,2010,4,189
2546,27,8,2016,6,240
2547,16,5,2017,2,136
2548,23,9,2011,5,266
2549,7,9,2017,4,250
2550,17,4,2017,1,107
2551,1,8,2018,3,213
2552,29,3,2017,3,88
2553,17,11,2008,1,322
2554,8,11,2012,4,313
2555,19,2,2019,2,50
2556,22,9,2017,5,265
2557,20,10,2015,2,293
2558,2,11,2015,1,306
2559,17,12,2018,1,351
2560,29,11,2016,2,334
2561,3,8,2016,3,216
2562,1,12,2008,1,336
2563,4,10,2016,2,278
2564,10,7,2015,5,191
2565,10,5,2016,2,131
2566,29,9,2017,5,272
2567,17,9,2014,3,260
2568,20,9,2016,2,264
2569,16,4,2014,3,106
2570,,,1980,,
2571,14,12,2017,4,348
2572,31,10,2017,2,304
2573,1,7,2009,3,182
2574,23,6,2016,4,175
2575,2,3,2012,5,62
2576,20,2,2008,3,51
2577,11,9,2017,1,254
2578,16,3,2016,3,76
2579,24,6,2008,2,176
2580,12,12,2013,4,346
2581,10,8,2015,1,222
2582,30,1,2012,1,30
2583,4,11,2009,3,308
2584,30,11,2017,4,334
2585,8,11,2018,4,312
2586,25,2,2013,1,56
2587,21,3,2016,1,81
2588,17,5,2016,2,138
2589,20,2,2010,6,51
2590,21,8,2017,1,233
2591,3,2,2014,1,34
2592,19,12,2013,4,353
2593,3,9,2018,1,246
2594,26,7,2017,3,207
2595,15,12,2018,6,349
2596,18,8,2016,4,231
2597,13,3,2017,1,72
2598,28,2,2012,2,59
2599,16,6,2009,2,167
2600,20,12,2018,4,354
2601,29,4,2011,5,119
2602,5,1,2016,2,5
2603,27,8,2018,1,239
2604,12,8,2013,1,224
2605,9,1,2015,5,9
2606,7,11,2006,2,311
2607,21,2,2019,4,52
2608,16,7,2018,1,197
2609,3,5,2018,4,123
2610,22,4,2015,3,112
2611,17,9,2009,4,260
2612,24,3,2019,0,83
2613,20,4,2011,3,110
2614,1,8,2012,3,214
2615,3,9,2014,3,246
2616,15,10,2015,4,288
2617,28,1,2015,3,28
2618,26,11,2017,0,330
2619,4,2,2018,0,35
2620,18,9,2017,1,261
2621,23,2,2019,6,54
2622,20,7,2018,5,201
2623,23,1,2017,1,23
2624,17,8,2017,4,229
2625,1,8,2013,4,213
2626,24,4,2017,1,114
2627,1,5,2007,2,121
2628,6,10,2009,2,279
2629,24,4,2015,5,114
2630,29,8,2018,3,241
2631,1,3,2010,1,60
2632,9,2,2019,6,40
2633,8,10,2018,1,281
2634,18,6,2015,4,169
2635,22,10,2013,2,295
2636,12,3,2009,4,71
2637,16,9,2011,5,259
2638,27,4,2018,5,117
2639,28,1,2018,0,28
2640,19,8,2014,2,231
2641,14,4,2014,1,104
2642,28,6,2013,5,179
2643,26,6,2016,0,178
2644,9,1,2017,1,9
2645,17,7,2015,5,198
2646,16,1,2015,5,16
2647,3,2,2011,4,34
2648,19,4,2017,3,109
2649,15,10,2013,2,288
2650,15,4,2019,1,105
2651,21,5,2016,6,142
2652,24,3,2014,1,83
2653,1,3,2011,2,60
2654,17,9,2016,6,261
2655,27,5,2018,0,147
2656,18,10,2011,2,291
2657,19,1,2017,4,19
2658,12,4,2012,4,103
2659,,,2015,,
2660,20,9,2017,3,263
